Name|Gender|Year|Background|House|Finesse|Intelligence|Spirit|Power|Masteries|Flaw|Perks|Wand
Mary Bennett|female|3|Wizard-Raised Halfblood|Ravenclaw|3|2|3|1|['Spell-Making', 'Spell-Making']||['A Way With Wands', 'Hack Job', 'Rich in the Ways that Mattered']|"Willow, Clabbert Horn, 9 1/2"""
Virgilio Williamson|male|4|Wizard-Raised Halfblood|Gryffindor|1|2|3|4|['Herbology', 'Flying']||['Ive Been Everywhere', 'Practiced Procrastinator', 'Free Tutoring']|"Oak, Jarvey Tendon, 13"""
Yvonne Self|female|5|Pureblood|Ravenclaw|4|3|2|2|['Mischief', 'Herbology']||['Up Close and Personal', 'A Pretty Face']|"Beech, Kelpie Hair, 13"""
Amy Reyes|female|7|Wizard-Raised Halfblood|Hufflepuff|3|3|4|3|['The Gift']||['Dont Sweat the Small Stuff', 'Up Close and Personal', 'Rich in the Ways that Mattered', 'Its Okay My Friends a Goblin']|"Ash, Veela Hair, 12 1/2"""
John Thornburg|male|6|Muggleborn|Gryffindor|5|2|3|2|['Curse-Breaking']||['Can I Borrow Your Notes?', 'Up Close and Personal', 'Its Okay My Friends a Goblin', 'Home Study']|"Beech, Augurey Fether, 11"""
Tyler Orlikowski|male|3|Wizard-Raised Halfblood|Slytherin|2|2|2|3|['The Gift']||['Teachers Pet', 'Finders Keepers']|"Hazel, Veela Hair, 12"""
Lorraine Small|female|3|Pureblood|Ravenclaw|3|2|3|1|['Enchanting', 'Enchanting']||['Practiced Procrastinator', 'I Know A Guy', 'Home Study']|"Apple, Erumpent Hair, 10"""
Lisa Bussard|female|2|Muggleborn|Gryffindor|1|3|2|2|['Research', 'Healing']||['Teachers Pet', 'Up Close and Personal', 'I Know A Guy']|"Hazel, Erumpent Hair, 12 1/2"""
Lesia Crockett|female|4|Muggle-Raised Halfblood|Slytherin|1|2|4|3|['Enchanting', 'Flying']||['Home Study', 'Hack Job', 'Free Tutoring', 'Ive Been Everywhere']|"Apple, Augurey Fether, 9 1/2"""
James Preston|male|1|Pureblood|Slytherin|1|2|2|2|['Enchanting', 'Herbology']||['You Wouldnt Hit A Face Like Mine', 'A Way With Wands']|"Vine, Clabbert Horn, 10"""
Matthew West|male|6|Muggleborn|Ravenclaw|4|1|4|3|['Potions']||['Can I Borrow Your Notes?', 'Practiced Procrastinator', 'You Wouldnt Hit A Face Like Mine', 'Tussle Hardened', 'I Owe You One']|"Vine, Jarvey Tendon, 9"""
Mary Shannon|female|5|Wizard-Raised Halfblood|Slytherin|3|2|3|3|['Curse-Breaking']||['I Owe You One', 'Finders Keepers', 'Free Tutoring']|"Apple, Unicorn Hair, 9 1/2"""
Cheryl Dommer|female|7|Muggleborn|Hufflepuff|1|7|3|2|['Ward', 'Flying']||['Free Tutoring', 'Rich in the Ways that Mattered', 'Practiced Procrastinator', 'Summer Chores']|"Willow, Erumpent Hair, 10 1/2"""
Gregory Austin|male|1|Muggleborn|Gryffindor|2|1|2|2|['Potions']||['Up Close and Personal', 'Rich in the Ways that Mattered', 'A Pretty Face']|"Willow, Erumpent Hair, 11 1/2"""
Benjamin Germann|male|5|Muggleborn|Ravenclaw|3|2|4|2|['History', 'Research']||['Rich in the Ways that Mattered', 'You Wouldnt Hit A Face Like Mine', 'I Owe You One', 'Teachers Pet', 'Practiced Procrastinator']|"Alder, Augurey Fether, 12 1/2"""
Nery Schneider|female|6|Muggleborn|Ravenclaw|3|4|3|2|['Ward', 'Creature']||['Practiced Procrastinator', 'A Pretty Face', 'Up Close and Personal', 'Its Okay My Friends a Goblin']|"Beech, Phoenix Feather, 13"""
Michael Rosa|male|7|Muggle-Raised Halfblood|Gryffindor|3|4|3|3|['Creature', 'Research']||['I Know A Guy', 'Ive Been Everywhere', 'Home Study']|"Holly, Unicorn Hair, 11 1/2"""
James Fray|male|5|Muggle-Raised Halfblood|Hufflepuff|2|4|3|2|['Ward', 'Enchanting']||['Home Study', 'Finders Keepers', 'Practiced Procrastinator']|"Willow, Kelpie Hair, 11 1/2"""
Anastasia Clements|female|2|Muggleborn|Ravenclaw|2|1|2|3|['Potions']||['I Know A Guy', 'Summer Chores', 'Practiced Procrastinator']|"Holly, Phoenix Feather, 13"""
Drew Jack|male|1|Muggleborn|Hufflepuff|3|1|2|1|['Potions']||['Home Study', 'You Wouldnt Hit A Face Like Mine', 'Practiced Procrastinator']|"Beech, Unicorn Hair, 13"""
Robert Garcia|male|5|Muggleborn|Hufflepuff|3|4|2|2|['The Gift']||['Finders Keepers', 'Its Okay My Friends a Goblin', 'Ive Been Everywhere']|"Vine, Phoenix Feather, 9 1/2"""
Kisha Baker|female|7|Wizard-Raised Halfblood|Ravenclaw|2|6|3|2|['Herbology', 'Herbology']||['I Owe You One', 'Teachers Pet', 'Practiced Procrastinator']|"Apple, Erumpent Hair, 12"""
Brandon Petty|male|7|Muggle-Raised Halfblood|Hufflepuff|5|4|2|2|['Ward', 'Creature']||['Dont Sweat the Small Stuff', 'Teachers Pet']|"Beech, Dragon Heartstring, 10"""
Sue Staggers|female|3|Muggleborn|Hufflepuff|4|1|3|1|['Ward', 'Research']||['Its Okay My Friends a Goblin', 'I Owe You One', 'Summer Chores', 'Free Tutoring']|"Holly, Kelpie Hair, 9"""
Sara Gray|female|6|Wizard-Raised Halfblood|Hufflepuff|6|3|2|1|['Herbology', 'Perception']||['Summer Chores', 'Can I Borrow Your Notes?']|"Alder, Unicorn Hair, 9 1/2"""
Angela Greene|female|1|Pureblood|Hufflepuff|3|1|2|1|['Curse-Breaking']||['Hack Job', 'You Wouldnt Hit A Face Like Mine']|"Alder, Unicorn Hair, 11"""
Catherine Falck|female|3|Muggleborn|Hufflepuff|2|2|3|2|['Ward', 'History']||['Finders Keepers', 'Summer Chores', 'Its Okay My Friends a Goblin', 'You Wouldnt Hit A Face Like Mine']|"Hawthorn, Clabbert Horn, 12 1/2"""
Joseph Dobbins|male|3|Wizard-Raised Halfblood|Gryffindor|2|3|2|2|['The Gift']||['Teachers Pet', 'Its Okay My Friends a Goblin']|"Holly, Erumpent Hair, 11"""
Katelyn Johnston|female|1|Muggleborn|Gryffindor|2|2|2|1|['Creature', 'Creature']||['Can I Borrow Your Notes?', 'Practiced Procrastinator', 'Its Okay My Friends a Goblin']|"Apple, Augurey Fether, 8 1/2"""
